id	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
DE272	363	503	1080	1265	41800	42043
DE273	555	743	1923	2587	61362	61703
DE274	358	478	1317	1985	40774	41021
DE275	1094	1067	2033	2824	120580	127785
DE276	1952	2162	4111	5903	232997	240976
DE277	798	922	1768	2358	92861	94759
DE278	1017	1135	2914	4197	120843	121691
DE279	1482	1485	3358	4865	158124	164135
DE27A	592	829	1629	2077	76642	80139
DE27B	1131	1252	2589	3551	129427	134462
DE27C	1172	1439	2710	3385	131887	135898
DE27D	1089	1232	2950	4613	128828	130035
DE27E	1174	1460	2615	3624	145953	150690
DE300	31936	31911	69170	84540	3398822	3416255
DE411	466	646	1534	1744	75710	61969
DE412	1355	1687	2177	2882	163053	177589
DE413	1382	1873	2610	3098	183852	191640
DE414	1533	2135	2329	3954	183997	201945
DE415	1350	1887	2794	3501	196655	188035
DE416	763	1159	1635	1976	115193	105812
DE417	520	1039	1214	1669	98205	85705
DE418	911	1454	2106	2673	155723	134958
DE421	562	805	1258	1644	81384	72954
DE422	732	1129	2446	2943	119629	102811
DE423	1579	1308	3198	4534	139823	150833
DE424	1196	1701	2412	4552	154894	161699
DE425	804	1400	1685	2043	134684	117522
DE426	1165	1530	1657	2378	142151	155359
DE427	826	1592	1885	2563	150414	127278
DE428	1509	2047	2815	3365	188097	204510
DE429	865	1593	2464	2931	151016	132798
DE42A	1290	1822	2502	3434	155895	162320
DE501	4601	5864	16165	22561	543279	547769
DE502	968	1489	2790	3618	124686	115313
DE600	16751	17091	62685	83488	1700089	1770629
DE711	1446	1423	5840	7389	137511	142191
DE712	7253	5772	39108	51127	643857	659021
DE713	1268	1082	3621	4222	115905	118245
DE714	2807	2721	9724	12638	267187	275849
DE715	1977	2703	4398	6385	261205	264380
DE716	2412	2487	4319	6106	283230	289071
DE717	2289	2287	7264	8743	247499	253013
DE718	1838	2131	5806	8131	222983	226043
DE719	3259	3924	8155	10611	402616	408162
DE71A	2048	1965	6956	8723	216353	225426
DE71B	723	1080	1591	2138	99410	98954
DE71C	2939	2869	7636	10795	331485	336671
DE71D	1374	1791	2751	3642	183543	184152
DE71E	2410	3081	4799	7117	290305	299054
DE721	2128	2423	5620	7363	252774	255776
DE722	2004	2880	5231	7628	262817	258063
DE723	1521	1853	2770	3888	173889	173754
DE724	2085	2309	5224	7314	252975	252187
DE725	742	1319	1863	2366	118496	113479
DE731	1644	2124	6319	8274	198071	193803
DE732	1757	2148	4812	6613	216679	219055
DE733	904	1615	2607	3717	131799	125211
DE734	1595	2550	4217	5184	244516	240728
DE735	1354	2167	3306	4445	193594	187058
DE736	1256	1954	3454	4308	170733	166053
DE737	719	1425	1994	2378	115705	107156
DE801	470	548	922	1339	56156	53845
DE802	573	598	1744	2082	75936	66735
DE803	1782	1936	4238	5380	207431	200413
DE804	772	1051	2487	2889	105213	95855
DE805	519	730	1102	1628	61711	58027
DE806	347	537	740	1155	48000	45012
DE807	902	1115	1545	2244	113850	118677
DE808	667	1042	1109	1446	97097	83500
DE809	758	1137	1608	1909	114400	102762
DE80A	966	1309	1675	2329	130873	126099
DE80B	587	832	1041	1122	88625	80924
DE80C	520	741	970	1298	70297	66503
DE80D	781	1158	1278	1671	119717	109448
DE80E	974	1086	1289	1795	120174	118677
DE80F	784	1167	1285	1684	115153	108138
DE80G	648	1109	1296	1545	109687	99959
DE80H	518	812	966	1309	76927	69716
DE80I	530	910	1139	1241	87442	75392
DE911	2127	2806	6546	8379	247241	245810
DE912	839	1293	2736	3563	114104	105320
DE913	944	1258	7387	8864	122185	120009
DE914	1513	1563	2007	2632	167840	174401
DE915	1972	2526	5555	6607	266320	261260
DE916	982	2116	2985	3227	157955	148091
DE917	662	1202	1553	1715	100697	95871
DE918	1046	1846	2433	2868	152111	144044
DE919	525	1093	1718	2296	86744	80300
DE91A	1077	1540	1788	2482	130002	133560
DE91B	840	1299	1440	1921	124509	124652
DE922	1698	2201	3477	4834	208218	215142
DE923	1195	1982	3281	4003	163103	157867
DE925	2183	3345	4870	6126	292801	288623
DE926	508	1046	1562	1661	82493	76103
DE927	993	1496	2310	2668	125386	124895
DE928	1171	2012	2732	3010	164718	164172
DE929	9801	11469	28087	37674	1111994	1130039
DE931	1455	2063	3293	4033	180971	181115
DE932	1558	2596	2575	3430	202202	202933
DE933	2014	2220	2957	4133	226407	243888
DE934	303	691	811	968	52194	50465
DE935	1473	1833	2777	3652	162308	176445
DE936	794	1124	1414	1778	108084	112679
DE937	1355	1566	2993	3779	157906	165074
DE938	1116	1558	3008	3546	138218	141692
DE939	1673	1901	3327	5121	189239	197091
DE93A	670	1281	1698	2124	96957	95983
DE93B	1109	1375	2635	3208	131410	133767
DE941	608	785	1292	1545	77368	75135
DE942	411	550	1776	2048	51448	51714
DE943	1378	1571	4111	5805	154325	159563
DE944	1487	1639	5012	6383	165283	162870
DE945	583	1029	2363	2693	87590	82192
DE946	923	1123	1723	2531	108013	117041
DE947	1553	2061	2449	3359	184564	190293
